Team,FDCOUK,City,Stadium,Capacity,Latitude,Longitude,Country,,
Arsenal ,Arsenal,London ,Emirates Stadium ,60361,51.555,-0.108611,England,,
Aston Villa ,Aston Villa,Birmingham ,Villa Park ,42785,52.509167,-1.884722,England,,
Bournemouth,Bournemouth,Bournemouth,Vitality Stadium,"11,379",50.737175,-1.867873,England,,
Brentford,Brentford,London ,Brentford Community Stadium,17250,51.490715, -0.289048,England,,
Brighton & Hove Albion ,Brighton,Brighton ,American Express Community Stadium ,22374,50.861822,-0.083278,England,,
Chelsea ,Chelsea,London ,Stamford Bridge ,42449,51.481667,-0.191111,England,,
Crystal Palace ,Crystal Palace,London ,Selhurst Park ,26309,51.398333,-0.085556,England,,
Everton ,Everton,Liverpool ,Goodison Park ,40157,53.438889,-2.966389,England,,
Fulham ,Fulham,London ,Craven Cottage ,25700,51.475,-0.221667,England,,
Leeds United ,Leeds,Leeds ,Elland Road ,39460,53.777778,-1.572222,England,,
Leicester City ,Leicester,Leicester ,King Power Stadium ,32500,52.620278,-1.142222,England,,
Liverpool ,Liverpool,Liverpool ,Anfield ,45276,53.430819,-2.960828,England,,
Manchester City ,Man City,Manchester ,Etihad Stadium,47405,53.482989,-2.200292,England,,
Manchester United ,Man United,Stretford ,Old Trafford ,75811,53.463056,-2.291389,England,,
Newcastle United ,Newcastle,Newcastle upon Tyne ,Sports Direct Arena,52409,54.975556,-1.621667,England,,
Nottingham Forest ,Nott'm Forest,Nottingham ,City Ground ,30576,52.94,-1.132778,England,,
Southampton ,Southampton,Southampton ,St Mary's Stadium ,32689,50.905833,-1.391111,England,,
Tottenham Hotspur ,Tottenham,London ,White Hart Lane ,36230,51.603333,-0.065833,England,,
West Ham United ,West Ham,London ,Boleyn Ground ,35303,51.531944,0.039444,England,,
Wolverhampton,Wolves,Wolverhampton,Molineux,32050,52.590382,-2.130924,England,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
